MDB_AP_COLLECTION_DOC_PKB.pls        3129 trunk/src/ap/pls
MDBARALTSNF_MNU.ldt                  2613 trunk/src/ar/seed
MDBARCOMPBATCHSOURCEPRF.ldt          2773 trunk/src/ar/seed
MDB_AR_400_PTB_MSG.ldt                  1 trunk/src/ar/seed
MDB_AR_400_US_MSG.ldt                   1 trunk/src/ar/seed
MDB_AR_ALT_SERIE_NF.ldt              2529 trunk/src/ar/seed
MDB_AR_ALT_SERIE_NF_CCR.ldt          2613 trunk/src/ar/seed
MDB_AR_AR221_IE_FP.ldt               2185 trunk/src/ar/seed
MDB_AR_AR243_MNU.ldt                  250 trunk/src/ar/seed
MDB_AR_AR270_RQG.ldt                 2619 trunk/src/ar/seed
MDB_AR_AR_INTEG_LKP.ldt               576 trunk/src/ar/seed
MDB_AR_AR_INTEG_QCD.ldt               570 trunk/src/ar/seed
MDB_AR_ATTACH_FP.ldt                    1 trunk/src/ar/seed
MDB_AR_BANK_TRANSFER_FP.ldt             1 trunk/src/ar/seed
MDB_AR_BATCH_SOURCES_VST.ldt         2846 trunk/src/ar/seed
MDB_AR_BILL_CONTROL_MNU.ldt             1 trunk/src/ar/seed
MDB_AR_BILL_CONTROL_PDF_CCR.ldt      2845 trunk/src/ar/seed
MDB_AR_BILL_CONTROL_PS_CCR.ldt       2844 trunk/src/ar/seed
MDB_AR_BILL_CONTROL_RQG.ldt             1 trunk/src/ar/seed
MDB_AR_COM_DISCOUNT_CCR.ldt          1898 trunk/src/ar/seed
MDB_AR_CUSTOMERS_FP.ldt                 1 trunk/src/ar/seed
MDB_AR_CUSTOMIZACOES_MNU.ldt          197 trunk/src/ar/seed
MDB_AR_CUSTOMIZACOES_RQG.ldt            1 trunk/src/ar/seed
MDB_AR_GEN_INVOICE_CCR.ldt           2939 trunk/src/ar/seed
MDB_AR_MDBARACOMPNFF_CCR.ldt         2408 trunk/src/ar/seed
MDB_AR_MDBARACOMPNFF_RQG.ldt         2414 trunk/src/ar/seed
MDB_AR_MDBJLBRROIT_CCR.ldt           2986 trunk/src/ar/seed
MDB_AR_NF_BOLETO_CCR.ldt             3032 trunk/src/ar/seed
MDB_AR_NF_BOLETO_RG.ldt              2985 trunk/src/ar/seed
MDB_AR_NF_COMPLEMENT_MNU.ldt            1 trunk/src/ar/seed
MDB_AR_NF_COMPL_FINAL_PRF.ldt           1 trunk/src/ar/seed
MDB_AR_NF_COMPL_TYPE_QCD.ldt            1 trunk/src/ar/seed
MDB_AR_OM_INTEG_LKP.ldt               576 trunk/src/ar/seed
MDB_AR_OM_INTEG_QCD.ldt               570 trunk/src/ar/seed
MDB_AR_PRINTER_NAME_VST.ldt          2939 trunk/src/ar/seed
MDB_AR_PRINTER_STYLE_VST.ldt         2939 trunk/src/ar/seed
MDB_AR_PRT_INVOICE_CCR.ldt              1 trunk/src/ar/seed
MDB_AR_PRT_REPRT_VST.ldt                1 trunk/src/ar/seed
MDB_AR_RAXINV_TRX_NUMBER_VST.ldt     2847 trunk/src/ar/seed
MDB_AR_RECEIPTS_FP.ldt                  1 trunk/src/ar/seed
MDB_AR_RET_IFACE_LINK_RQS.ldt        3246 trunk/src/ar/seed
MDB_AR_RET_LOAD_IFACE_CCR.ldt        3246 trunk/src/ar/seed
MDB_AR_RET_LOAD_IFACE_RQG.ldt        3246 trunk/src/ar/seed
MDB_AR_RET_LOAD_IFACE_RQS.ldt         190 trunk/src/ar/seed
MDB_AR_RET_REASON_MNU.ldt            3246 trunk/src/ar/seed
MDB_AR_RMABATCH_MNU.ldt                 1 trunk/src/ar/seed
MDB_AR_TERMS_FP.ldt                     1 trunk/src/ar/seed
MDB_AR_TRX_NEGOTIATE_MNU.ldt         2145 trunk/src/ar/seed
MDB_AR_TRX_NUMBER_VST.ldt              15 trunk/src/ar/seed
MDB_ATUALIZAR_OI_CCR.ldt               15 trunk/src/ar/seed
MDB_OM_GOODS_LIST_CCR.ldt            1340 trunk/src/ar/seed
MDB_OM_GOODS_LIST_RQG.ldt            1340 trunk/src/ar/seed
MDB_AP_AP214_00001.sql               1340 trunk/src/ar/sql
MDB_AP_PAYGROUP_R_AI.trg             1340 trunk/src/ar/sql
MDB_AR_ALTERA_CFOP_R_BI.trg           216 trunk/src/ar/sql
MDB_AR_AR205_00001.sql                  1 trunk/src/ar/sql
MDB_AR_AR209_00001.sql               3246 trunk/src/ar/sql
MDB_AR_AR215_00001.sql               1340 trunk/src/ar/sql
MDB_AR_AR219_00001.sql               2783 trunk/src/ar/sql
MDB_AR_AR225_00001.sql                529 trunk/src/ar/sql
MDB_AR_AR233_00001.sql                527 trunk/src/ar/sql
MDB_AR_AR243_00001.sql                246 trunk/src/ar/sql
MDB_AR_AR250_00001.sql               2190 trunk/src/ar/sql
MDB_AR_AR271_00001.sql               2635 trunk/src/ar/sql
MDB_AR_AR400_00001.sql                  1 trunk/src/ar/sql
MDB_AR_BATCH_ORG_ASS_ALL.grt          246 trunk/src/ar/sql
MDB_AR_BATCH_ORG_ASS_ALL.ind          246 trunk/src/ar/sql
MDB_AR_BATCH_ORG_ASS_ALL.syn          246 trunk/src/ar/sql
MDB_AR_BATCH_ORG_ASS_ALL.tab          246 trunk/src/ar/sql
MDB_AR_BATCH_ORG_ASS_V.vw             246 trunk/src/ar/sql
MDB_AR_BILL_CONTROL.grt               216 trunk/src/ar/sql
MDB_AR_BILL_CONTROL.syn               216 trunk/src/ar/sql
MDB_AR_BILL_CONTROL.tab               216 trunk/src/ar/sql
MDB_AR_BILL_CONTROL_N1.ind            216 trunk/src/ar/sql
MDB_AR_BILL_CONTROL_S.grt             216 trunk/src/ar/sql
MDB_AR_BILL_CONTROL_S.seq             216 trunk/src/ar/sql
MDB_AR_BILL_CONTROL_S.syn             216 trunk/src/ar/sql
MDB_AR_BILL_CONTROL_U1.ind            216 trunk/src/ar/sql
MDB_AR_BILL_REPORT_TMP.grt            216 trunk/src/ar/sql
MDB_AR_BILL_REPORT_TMP.syn            216 trunk/src/ar/sql
MDB_AR_BILL_REPORT_TMP.ttb            216 trunk/src/ar/sql
MDB_AR_CALC_WEIGHT_R_AIU.trg         2635 trunk/src/ar/sql
mdb_ar_cfop_relationships.con         496 trunk/src/ar/sql
mdb_ar_cfop_relationships.grt         497 trunk/src/ar/sql
mdb_ar_cfop_relationships.ind         497 trunk/src/ar/sql
MDB_AR_CFOP_RELATIONSHIPS.seq         691 trunk/src/ar/sql
mdb_ar_cfop_relationships.sql         497 trunk/src/ar/sql
mdb_ar_cfop_relationships.syn         497 trunk/src/ar/sql
mdb_ar_cfop_relationships.tab         497 trunk/src/ar/sql
mdb_ar_cfop_relationships.vw          497 trunk/src/ar/sql
MDB_AR_CUSTOMER_CNPJ_V.vw            2405 trunk/src/ar/sql
MDB_AR_CUSTOMER_TRX_R_BI.trg         2772 trunk/src/ar/sql
MDB_AR_CUST_TRX_LINE_R_BI.trg        2772 trunk/src/ar/sql
MDB_AR_DOCUMENT_CONTROL.grt           216 trunk/src/ar/sql
MDB_AR_DOCUMENT_CONTROL.syn           216 trunk/src/ar/sql
MDB_AR_DOCUMENT_CONTROL.tab           216 trunk/src/ar/sql
MDB_AR_DOCUMENT_CONTROL_N1.ind        216 trunk/src/ar/sql
MDB_AR_DOCUMENT_CONTROL_N2.ind        216 trunk/src/ar/sql
MDB_AR_DOCUMENT_CONTROL_S.grt         216 trunk/src/ar/sql
MDB_AR_DOCUMENT_CONTROL_S.seq         216 trunk/src/ar/sql
MDB_AR_DOCUMENT_CONTROL_S.syn         216 trunk/src/ar/sql
MDB_AR_DOCUMENT_CONTROL_U1.ind        216 trunk/src/ar/sql
MDB_AR_IFACE_COM_DISC_R_BI.trg       1898 trunk/src/ar/sql
MDB_AR_IFACE_LIN_ABT_R_BU.trg        1324 trunk/src/ar/sql
MDB_AR_INVOICE_IMAGES.grt             216 trunk/src/ar/sql
MDB_AR_INVOICE_IMAGES.syn             216 trunk/src/ar/sql
MDB_AR_INVOICE_IMAGES.tab             216 trunk/src/ar/sql
MDB_AR_MAINT_TRANSACTIONS_V.vw        621 trunk/src/ar/sql
MDB_AR_NF_COMPL.grt                  2772 trunk/src/ar/sql
MDB_AR_NF_COMPL.ind                  2772 trunk/src/ar/sql
MDB_AR_NF_COMPL.seq                   216 trunk/src/ar/sql
MDB_AR_NF_COMPL.syn                   216 trunk/src/ar/sql
MDB_AR_NF_COMPLEMENTS_V.vw           2772 trunk/src/ar/sql
MDB_AR_NF_COMPL_ALL.tab               216 trunk/src/ar/sql
MDB_AR_NF_COMPL_DFF.sql                 1 trunk/src/ar/sql
MDB_AR_NF_COMPL_LINES_ALL.tab        2772 trunk/src/ar/sql
MDB_AR_NF_COMPL_LINES_V.vw           2772 trunk/src/ar/sql
MDB_AR_PAYMENTS_SCH_R_BI.trg         2772 trunk/src/ar/sql
mdb_ar_pay_occurrence_r_au.trg       2783 trunk/src/ar/sql
MDB_AR_PRT_INVOICE.sql                  1 trunk/src/ar/sql
MDB_AR_REASON_ALL.grt                3246 trunk/src/ar/sql
MDB_AR_REASON_ALL.syn                3246 trunk/src/ar/sql
MDB_AR_REG_REASON_ALL.tab            3246 trunk/src/ar/sql
MDB_AR_REG_REASON_ALL_U1.ind         3246 trunk/src/ar/sql
MDB_AR_RET_REASON_ALL.tab            3274 trunk/src/ar/sql
mdb_ar_serie_nf_iface_v.vw           2613 trunk/src/ar/sql
MDB_AR_SETUP_NF_COMPL.tab            2772 trunk/src/ar/sql
MDB_AR_SUBST_CONTRIB_ALL.grt          216 trunk/src/ar/sql
MDB_AR_SUBST_CONTRIB_ALL.ind          216 trunk/src/ar/sql
MDB_AR_SUBST_CONTRIB_ALL.syn          216 trunk/src/ar/sql
MDB_AR_SUBST_CONTRIB_ALL.tab          216 trunk/src/ar/sql
MDB_AR_TRX_MAINTS_ALL.con            1308 trunk/src/ar/sql
MDB_AR_TRX_MAINTS_ALL.grt            1308 trunk/src/ar/sql
MDB_AR_TRX_MAINTS_ALL.syn            1308 trunk/src/ar/sql
MDB_AR_TRX_MAINTS_ALL.tab            1696 trunk/src/ar/sql
MDB_AR_TRX_MAINTS_ALL_S.seq          1308 trunk/src/ar/sql
MDB_AR_TRX_NEGOTIATE.grt             1340 trunk/src/ar/sql
MDB_AR_TRX_NEGOTIATE.syn             1340 trunk/src/ar/sql
MDB_AR_TRX_NEGOTIATE.tab             1340 trunk/src/ar/sql
MDB_REC_LOOKUP_CODES_AR236.sql        573 trunk/src/ar/sql
MDB_AR_TRANSAC_ACCOUNT_PKB.pls        435 trunk/src/bil/pls
MDB_AR_TRANSAC_ACCOUNT_PKS.pls        435 trunk/src/bil/pls
MDB_AR_TRANSAC_ACC_CCR.ldt              1 trunk/src/bil/seed
MDB_AR_TRANSAC_ACC_RQG.ldt              1 trunk/src/bil/seed
MDBCUST.pll                           277 trunk/src/bom/fmb
MDB_BOM_CONV_BAL_KG_PKB.pls          3188 trunk/src/bom/pls
MDB_BOM_CONV_BAL_KG_PKS.pls          3188 trunk/src/bom/pls
MDB_ZZ_NLS_NUMBER_PKB.pls               1 trunk/src/bom/pls
MDB_ZZ_NLS_NUMBER_PKS.pls               1 trunk/src/bom/pls
MDBBOMEKB.rdf                           1 trunk/src/bom/rdf
MDB_BOM_EKB_CCR.ldt                     1 trunk/src/bom/seed
MDB_BOM_EKB_RQG.ldt                     1 trunk/src/bom/seed
MDB_BOM_ITEM_AGUA_PRF.ldt             277 trunk/src/bom/seed
MDB_BOM_ITENS_DFF.ldt                 277 trunk/src/bom/seed
MDB_BOM_QTD_BATELADA_DFF.ldt          277 trunk/src/bom/seed
MDB_BOM_BOM200_00001.sql              277 trunk/src/bom/sql
BS_AR_ATU_NOSSO_NUM_PKB.pls           156 trunk/src/bs/ar
BS_AR_ATU_NOSSO_NUM_PKS.pls           156 trunk/src/bs/ar
MDBCMBASE.fmb                        2797 trunk/src/cm/fmb
MDBCMRTTAX.fmb                       3093 trunk/src/cm/fmb
MDB_CM_ACCOUNTING_UPD_PKB.pls        3238 trunk/src/cm/pls
MDB_CM_ACCOUNTING_UPD_PKS.pls        3238 trunk/src/cm/pls
MDB_CM_BASE_DIVIDE_PKB.pls           2537 trunk/src/cm/pls
MDB_CM_BASE_DIVIDE_PKS.pls           2537 trunk/src/cm/pls
MDB_CM_RATIO_CALC_PKB.pls            2652 trunk/src/cm/pls
MDB_CM_RATIO_CALC_PKS.pls            2626 trunk/src/cm/pls
MDB_CM_REP_ACCOUNTING_PKB.pls           1 trunk/src/cm/pls
MDB_CM_REP_ACCOUNTING_PKS.pls           1 trunk/src/cm/pls
MDB_CM_ACCOUNTING_UPD_CCR.ldt        3238 trunk/src/cm/seed
MDB_CM_ACCOUNTING_UPD_RQG.ldt        3238 trunk/src/cm/seed
MDB_CM_CUSTOMIZACOES_MNU.ldt         1892 trunk/src/cm/seed
MDB_CM_DIVIDE_TYPE_LKP.ldt              1 trunk/src/cm/seed
MDB_CM_RATIO_COST_TYPE_VST.ldt       1911 trunk/src/cm/seed
MDB_CM_RATIO_RESOURCE_TYPE_LKP.ldt   1893 trunk/src/cm/seed
MDB_CM_RATIO_SALARY_TYPE_LKP.ldt     1893 trunk/src/cm/seed
MDB_CM_RATIO_SN_LKP.ldt              1893 trunk/src/cm/seed
MDB_CM_RATIO_SOURCE_LKP.ldt          1893 trunk/src/cm/seed
MDB_CM_RATIO_TAX_TYPE_LKP.ldt        1893 trunk/src/cm/seed
MDB_CM_RATIO_TYPE_LKP.ldt            1893 trunk/src/cm/seed
MDB_CM_RATIO_UPDATE_COST_VST.ldt     1911 trunk/src/cm/seed
MDB_CM_REP_ACC_CCR.ldt                  1 trunk/src/cm/seed
MDB_CM_REP_ACC_RQG.ldt                  1 trunk/src/cm/seed
MDB_CM_ACC_RESOURCES_R_BI.trg        1828 trunk/src/cm/sql
MDB_CM_BASE_PARAMETERS.grt            220 trunk/src/cm/sql
MDB_CM_BASE_PARAMETERS.ind           2180 trunk/src/cm/sql
MDB_CM_BASE_PARAMETERS.syn            220 trunk/src/cm/sql
MDB_CM_BASE_PARAMETERS.tab            220 trunk/src/cm/sql
MDB_CM_BASE_PARAMETERS_S.seq          220 trunk/src/cm/sql
MDB_CM_BASE_PARAM_DEPTS.grt           220 trunk/src/cm/sql
MDB_CM_BASE_PARAM_DEPTS.ind          2180 trunk/src/cm/sql
MDB_CM_BASE_PARAM_DEPTS.syn           220 trunk/src/cm/sql
MDB_CM_BASE_PARAM_DEPTS.tab           220 trunk/src/cm/sql
MDB_CM_BASE_PARAM_DEPTS_S.seq         220 trunk/src/cm/sql
MDB_CM_CM250_00001.sql               1544 trunk/src/cm/sql
MDB_CM_RATIO_DEPARTMENTS.grt          791 trunk/src/cm/sql
MDB_CM_RATIO_DEPARTMENTS.ind          791 trunk/src/cm/sql
MDB_CM_RATIO_DEPARTMENTS.syn          791 trunk/src/cm/sql
MDB_CM_RATIO_DEPARTMENTS.tab         1052 trunk/src/cm/sql
MDB_CM_RATIO_DEPARTMENTS_S.grt        791 trunk/src/cm/sql
MDB_CM_RATIO_DEPARTMENTS_S.seq        791 trunk/src/cm/sql
MDB_CM_RATIO_DEPARTMENTS_S.syn        791 trunk/src/cm/sql
MDB_CM_RATIO_HISTORY.grt             2505 trunk/src/cm/sql
MDB_CM_RATIO_HISTORY.ind             2505 trunk/src/cm/sql
MDB_CM_RATIO_HISTORY.syn             2505 trunk/src/cm/sql
MDB_CM_RATIO_HISTORY.tab             2511 trunk/src/cm/sql
MDB_CM_RATIO_HISTORY_S.grt           2505 trunk/src/cm/sql
MDB_CM_RATIO_HISTORY_S.seq           2505 trunk/src/cm/sql
MDB_CM_RATIO_HISTORY_S.syn           2505 trunk/src/cm/sql
MDB_CM_RATIO_PARAMETERS.grt           791 trunk/src/cm/sql
MDB_CM_RATIO_PARAMETERS.ind           791 trunk/src/cm/sql
MDB_CM_RATIO_PARAMETERS.syn           791 trunk/src/cm/sql
MDB_CM_RATIO_PARAMETERS.tab           851 trunk/src/cm/sql
MDB_CM_RATIO_PARAMETERS_S.grt         791 trunk/src/cm/sql
MDB_CM_RATIO_PARAMETERS_S.seq         791 trunk/src/cm/sql
MDB_CM_RATIO_PARAMETERS_S.syn         791 trunk/src/cm/sql
MDB_CM_RATIO_RESOURCES.grt            791 trunk/src/cm/sql
MDB_CM_RATIO_RESOURCES.ind            791 trunk/src/cm/sql
MDB_CM_RATIO_RESOURCES.syn            791 trunk/src/cm/sql
MDB_CM_RATIO_RESOURCES.tab           2038 trunk/src/cm/sql
MDB_CM_RATIO_RESOURCES_S.grt          791 trunk/src/cm/sql
MDB_CM_RATIO_RESOURCES_S.seq          791 trunk/src/cm/sql
MDB_CM_RATIO_RESOURCES_S.syn          791 trunk/src/cm/sql
MDB_CM_REP_ACCOUNTING_TMP.col         220 trunk/src/cm/sql
MDB_CM_REP_ACCOUNTING_TMP.grt         220 trunk/src/cm/sql
MDB_CM_REP_ACCOUNTING_TMP.syn         220 trunk/src/cm/sql
MDB_CM_REP_ACCOUNTING_TMP.ttb         220 trunk/src/cm/sql
MDB_FA_MASS_ADDITIONS_PKB.pls        1360 trunk/src/fa/pls
MDB_FA_MASS_ADDITIONS_PKS.pls        1360 trunk/src/fa/pls
MDB_FA_FA200_00001.sql               1360 trunk/src/fa/sql
MDB_FA_MASS_ADDITIONS_R_BI.trg       1360 trunk/src/fa/sql
MDBFNDENABLEEVENTS.fmb                  1 trunk/src/fnd/fmb
MDB_ZZ_ENABLE_EVENTS_PKB.pls            1 trunk/src/fnd/pls
MDB_ZZ_ENABLE_EVENTS_PKS.pls            1 trunk/src/fnd/pls
MDB_ZZ_ENABLE_EVENTS_LKP.ldt            1 trunk/src/fnd/seed
MDB_ZZ_ENABLE_EVENTS_MNU.ldt            1 trunk/src/fnd/seed
MDB_ZZ_ENABLE_EVENTS.grt              222 trunk/src/fnd/sql
MDB_ZZ_ENABLE_EVENTS.ind              222 trunk/src/fnd/sql
MDB_ZZ_ENABLE_EVENTS.syn              222 trunk/src/fnd/sql
MDB_ZZ_ENABLE_EVENTS.tab              222 trunk/src/fnd/sql
MDB_ZZ_ENABLE_EVENTS_HIST.grt         222 trunk/src/fnd/sql
MDB_ZZ_ENABLE_EVENTS_HIST.ind         222 trunk/src/fnd/sql
MDB_ZZ_ENABLE_EVENTS_HIST.syn         222 trunk/src/fnd/sql
MDB_ZZ_ENABLE_EVENTS_HIST.tab         222 trunk/src/fnd/sql
MDB_ZZ_ENABLE_EVENTS_PK.con           222 trunk/src/fnd/sql
MDB_ZZ_ENABLE_EVENTS_S1.seq           222 trunk/src/fnd/sql
MDB_ZZ_HIST_EVENTS_R_BIU.trg          222 trunk/src/fnd/sql
MDBGLHISTORYPARAMETERS.fmb              1 trunk/src/gl/fmb
MDBGLTRANSLATEGROUPS.fmb                1 trunk/src/gl/fmb
MDB_GL_STD_HISTORY_PKB.pls              1 trunk/src/gl/pls
MDB_GL_STD_HISTORY_PKS.pls              1 trunk/src/gl/pls
MDB_GL_TRANSLATION_PKB.pls              1 trunk/src/gl/pls
MDB_GL_TRANSLATION_PKS.pls              1 trunk/src/gl/pls
MDB_GL_UPD_HISTORY_PKB.pls              1 trunk/src/gl/pls
MDB_GL_UPD_HISTORY_PKS.pls              1 trunk/src/gl/pls
MDB_GL204_00001_PTB_MSG.ldt             1 trunk/src/gl/seed
MDB_GL204_00001_US_MSG.ldt              1 trunk/src/gl/seed
MDB_GL204_00002_PTB_MSG.ldt             1 trunk/src/gl/seed
MDB_GL204_00002_US_MSG.ldt              1 trunk/src/gl/seed
MDB_GL_HIST_PADRAO_CCR.ldt              1 trunk/src/gl/seed
MDB_GL_HIST_PADRAO_MNU.ldt              1 trunk/src/gl/seed
MDB_GL_HIST_PADRAO_RQG.ldt              1 trunk/src/gl/seed
MDB_GL_GL204_00001.sql                224 trunk/src/gl/sql
MDB_GL_HISTORY_PARAMETERS.grt         224 trunk/src/gl/sql
MDB_GL_HISTORY_PARAMETERS.ind         224 trunk/src/gl/sql
MDB_GL_HISTORY_PARAMETERS.seq         224 trunk/src/gl/sql
MDB_GL_HISTORY_PARAMETERS.syn         224 trunk/src/gl/sql
MDB_GL_HISTORY_PARAMETERS.tab         224 trunk/src/gl/sql
MDB_GL_TRANSLATION_GROUPS.grt         224 trunk/src/gl/sql
MDB_GL_TRANSLATION_GROUPS.ind         224 trunk/src/gl/sql
MDB_GL_TRANSLATION_GROUPS.seq         224 trunk/src/gl/sql
MDB_GL_TRANSLATION_GROUPS.syn         224 trunk/src/gl/sql
MDB_GL_TRANSLATION_GROUPS.tab         224 trunk/src/gl/sql
MDB_GL_TRANSLATION_TERMS.grt          224 trunk/src/gl/sql
MDB_GL_TRANSLATION_TERMS.ind          224 trunk/src/gl/sql
MDB_GL_TRANSLATION_TERMS.seq          224 trunk/src/gl/sql
MDB_GL_TRANSLATION_TERMS.syn          224 trunk/src/gl/sql
MDB_GL_TRANSLATION_TERMS.tab          224 trunk/src/gl/sql
MDB_GL_UPD_HISTORY_R_AI.trg           224 trunk/src/gl/sql
MDBINVHISTINTERNALREQ.fmb            2278 trunk/src/inv/fmb
MDBINVONHANDOTHERS.fmb               2020 trunk/src/inv/fmb
MDBINVREQUESTERAPROVER.fmb           2278 trunk/src/inv/fmb
MDB_AR_ONHAND_OTH_PKB.pls            2517 trunk/src/inv/pls
MDB_AR_ONHAND_OTH_PKS.pls               1 trunk/src/inv/pls
MDB_INV_TRANSF_SUBINV_PKB.pls           1 trunk/src/inv/pls
MDB_INV_TRANSF_SUBINV_PKS.pls           1 trunk/src/inv/pls
MDB_REC_HOLDS_CUSTOM_PKB.pls            1 trunk/src/inv/pls
MDB_REC_ONHAND_OTH_PKB.pls           2016 trunk/src/inv/pls
MDB_REC_ONHAND_OTH_PKS.pls              1 trunk/src/inv/pls
MDBINVINSPECTIONPENDANTS.rdf          598 trunk/src/inv/rdf
MDBINVONHANDOTHERS.rdf                  1 trunk/src/inv/rdf
MDBINVRECINSPECTION.rdf              3137 trunk/src/inv/rdf
MDB_AR_ONHAND_OTH_CCR.ldt               1 trunk/src/inv/seed
MDB_AR_TRXNUMBER_FROM_VST.ldt           1 trunk/src/inv/seed
MDB_AR_TRXNUMBER_TO_VST.ldt             1 trunk/src/inv/seed
MDB_AR_TRX_TYPE_VST.ldt                 1 trunk/src/inv/seed
MDB_INV220_MNU.ldt                   2300 trunk/src/inv/seed
MDB_INV_CUSTOMIZACOES_RQG.ldt           1 trunk/src/inv/seed
MDB_INV_DEST_SUBINV_VST.ldt             1 trunk/src/inv/seed
MDB_INV_ONHAND_OTH_CCR.ldt              1 trunk/src/inv/seed
MDB_INV_ONHAND_OTH_MNU.ldt              1 trunk/src/inv/seed
MDB_INV_REC_INS_CCR.ldt              3113 trunk/src/inv/seed
MDB_INV_REC_INS_RQG.ldt              3064 trunk/src/inv/seed
MDB_INV_REC_INS_VST.ldt              3064 trunk/src/inv/seed
MDB_INV_TT_TRANSF_PRF.ldt               1 trunk/src/inv/seed
MDB_REC_ONHAND_OTH_CCR.ldt              1 trunk/src/inv/seed
MDB_REC_TT_TYPE_PRF.ldt              2415 trunk/src/inv/seed
MDB_AR_INV201_00001.sql               226 trunk/src/inv/sql
MDB_AR_INV201_00002.sql               226 trunk/src/inv/sql
MDB_AR_ONHAND_OTH_R_AIU.trg          1947 trunk/src/inv/sql
MDB_GL_HISTORY_PARAMETERS.grt         226 trunk/src/inv/sql
